service_id,date,exception_type
DEC24-D02CAR-1_Weekday-SANTHA0,20250602,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250602,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250602,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250603,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250603,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250603,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250603,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250604,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250604,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250604,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250604,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250605,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250605,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250605,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250605,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250606,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250606,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250606,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250606,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250609,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250609,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250609,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250609,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250610,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250610,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250610,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250610,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250611,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250611,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250611,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250611,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250611,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250611,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250612,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250612,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250612,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250612,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250612,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250612,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250613,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250613,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250613,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250613,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250613,2
